#
# US coal production, reconstructed from historical data sets
#   http://www.iea.org/statistics/topics/coal/
# US oil and condensate production, reconstructed from historical data sets
#   http://www.iea.org/statistics/topics/oil/
# US gas production, reconstructed from historical data sets
#   https://www.iea.org/statistics/
# Cross-checked against BP World Energy report 2017
# 2017 data is the best estimate as of october 2017
# The "Tail from 1860 to 1800 is estimated as 5% per year growth
# Units in million tonn of oil equvalent per year, counting oil density at 0.827 g/cm (WTI)
#
Year,Coal,Oil,Gas,Total
1848,4.7,0.0,0.3,5.0
1849,5.1,0.0,0.3,5.4
1850,5.5,0.0,0.3,5.8
1851,5.9,0.0,0.3,6.2
1852,6.3,0.0,0.3,6.6
1853,6.8,0.0,0.3,7.1
1854,7.3,0.0,0.3,7.7
1855,7.9,0.0,0.4,8.2
1856,8.5,0.0,0.4,8.8
1857,9.1,0.0,0.4,9.5
1858,9.8,0.0,0.4,10.2
1859,10.5,0.0,0.4,11.0
1860,11.3,0.1,0.5,11.8
1861,12.1,0.3,0.5,12.9
1862,13.1,0.4,0.5,14.0
1863,14.0,0.3,0.6,14.9
1864,15.1,0.3,0.6,16.0
1865,16.2,0.3,0.6,17.2
1866,17.5,0.5,0.6,18.6
1867,18.8,0.4,0.7,19.9
1868,20.2,0.5,0.7,21.4
1869,21.7,0.6,0.7,23.0
1870,23.3,0.7,0.8,24.8
1871,24.4,0.7,0.8,25.9
1872,31.5,0.8,0.9,33.2
1873,36.5,1.3,0.9,38.8
1874,35.5,1.4,1.0,37.9
1875,33.5,1.6,1.0,36.1
1876,32.5,1.2,1.1,34.8
1877,32.5,1.8,1.1,35.4
1878,37.6,2.0,1.2,40.8
1879,40.6,2.6,1.3,44.5
1880,48.7,3.5,1.3,53.5
1881,52.8,3.6,1.4,57.8
1882,54.8,4.0,1.5,60.3
1883,62.9,3.1,1.5,67.5
1884,65.0,3.2,1.6,69.8
1885,67.0,2.9,1.7,71.6
1886,72.1,3.7,1.8,77.5
1887,78.1,3.7,1.9,83.8
1888,89.3,3.6,2.0,94.9
1889,89.3,4.6,2.1,96.0
1890,87.3,6.0,2.2,95.5
1891,101.5,7.1,2.3,110.9
1892,107.6,6.6,2.4,116.7
1893,109.6,6.4,2.6,118.5
1894,105.6,6.5,2.7,114.7
1895,113.7,7.0,2.8,123.5
1896,119.8,8.0,3.0,130.8
1897,116.7,8.0,3.1,127.8
1898,123.8,7.3,3.3,134.4
1899,154.3,7.5,3.5,165.3
1900,154.3,8.4,3.7,166.3
1901,172.5,9.1,5.2,186.8
1902,174.6,11.7,5.9,192.1
1903,215.2,13.2,6.9,235.2
1904,215.2,15.4,7.4,237.9
1905,212.1,17.7,9.2,239.0
1906,250.7,16.6,11.2,278.5
1907,288.2,21.8,11.7,321.8
1908,255.8,23.5,11.5,290.8
1909,255.8,24.1,13.8,293.6
1910,298.4,27.6,14.6,340.5
1911,309.5,29.0,14.7,353.3
1912,306.5,29.3,16.1,351.9
1913,344.1,32.7,16.7,393.4
1914,314.6,34.9,17.0,366.6
1915,324.8,37.0,18.0,379.8
1916,326.8,39.5,21.6,388.0
1917,389.7,44.1,22.8,456.6
1918,407.0,46.8,20.7,474.5
1919,335.9,49.8,21.4,407.1
1920,399.9,58.2,23.3,481.4
1921,396.8,62.1,19.3,478.3
1922,297.4,73.3,22.3,392.9
1923,363.3,96.3,29.4,489.1
1924,397.8,93.9,33.3,525.1
1925,349.1,81.6,34.7,465.4
1926,399.9,101.4,38.3,539.6
1927,365.4,118.5,42.2,526.1
1928,355.2,118.5,45.8,519.5
1929,364.4,132.5,56.0,552.8
1930,346.1,118.1,56.8,520.9
1931,304.5,111.9,49.4,465.8
1932,245.6,103.2,45.7,394.6
1933,218.2,119.1,45.8,383.1
1934,245.6,119.4,52.1,417.1
1935,253.7,130.7,56.5,440.9
1936,301.4,144.4,62.6,508.5
1937,299.4,168.0,71.7,539.1
1938,242.6,159.5,71.9,474.0
1939,273.0,166.2,76.9,516.1
1940,300.4,197.7,81.0,579.1
1941,347.1,184.6,84.2,616.0
1942,390.7,182.2,90.2,663.1
1943,390.7,198.0,100.4,689.1
1944,414.1,220.6,115.4,750.1
1945,381.6,225.3,118.1,725.0
1946,364.4,227.9,125.6,717.9
1947,415.1,244.2,135.1,794.4
1948,394.8,265.6,142.4,802.9
1949,291.8,242.2,150.0,684.0
1950,329.6,259.5,169.3,758.5
1951,347.5,295.6,197.3,840.4
1952,340.6,301.1,211.9,853.6
1953,302.8,309.9,220.1,832.9
1954,281.8,304.4,226.3,812.5
1955,252.9,326.7,243.4,823.0
1956,305.3,344.2,261.7,911.1
1957,314.7,344.1,274.7,933.5
1958,276.0,322.0,278.9,876.9
1959,259.8,338.5,301.6,900.0
1960,260.4,338.6,318.8,917.7
1961,251.6,344.7,329.4,925.8
1962,262.3,351.9,341.9,956.2
1963,275.7,362.0,361.7,999.4
1964,295.7,366.4,379.9,1042.0
1965,306.0,374.6,391.1,1071.7
1966,320.9,398.1,420.4,1139.3
1967,329.8,422.8,446.1,1198.8
1968,332.0,437.7,474.3,1244.1
1969,336.3,443.4,507.4,1287.1
1970,360.4,462.5,535.8,1358.7
1971,347.1,454.2,544.6,1345.8
1972,331.9,454.4,544.6,1330.8
1973,349.3,441.9,547.4,1338.6
1974,351.8,421.1,520.5,1293.4
1975,364.2,401.9,484.0,1250.1
1976,385.7,391.3,480.2,1257.2
1977,396.8,395.7,482.0,1274.5
1978,388.3,417.9,481.2,1287.4
1979,426.3,410.4,493.4,1330.2
1980,450.2,413.7,490.2,1354.1
1981,463.1,411.4,484.7,1359.2
1982,469.7,415.1,451.5,1336.2
1983,434.6,417.0,411.2,1262.8
1984,496.9,427.3,445.6,1369.8
1985,487.0,430.6,423.0,1340.5
1986,491.6,416.6,413.4,1321.7
1987,507.5,400.7,428.7,1337.0
1988,522.6,391.7,442.8,1357.1
1989,537.9,365.4,444.7,1348.0
1990,565.9,353.0,455.1,1374.0
1991,544.2,356.0,453.7,1353.8
1992,545.0,345.1,458.1,1348.2
1993,510.3,328.6,469.1,1308.0
1994,557.2,319.7,486.5,1363.4
1995,555.1,314.8,482.4,1352.4
1996,571.6,311.1,492.6,1375.3
1997,584.9,309.6,495.4,1390.0
1998,603.2,300.1,494.4,1397.7
1999,584.3,282.3,490.8,1357.4
2000,570.1,280.2,497.1,1347.4
2001,590.3,278.4,505.2,1373.9
2002,570.1,275.7,489.8,1335.5
2003,553.6,271.1,491.8,1316.6
2004,572.4,261.9,484.6,1318.8
2005,580.2,248.8,472.4,1301.3
2006,595.1,244.1,484.6,1323.8
2007,587.7,243.5,502.1,1333.3
2008,596.7,240.5,525.9,1363.2
2009,540.8,256.7,538.8,1336.2
2010,551.2,262.8,559.1,1373.1
2011,556.1,270.8,600.4,1427.3
2012,517.8,312.7,627.9,1458.4
2013,500.9,358.3,626.2,1485.4
2014,507.7,420.1,672.2,1600.0
2015,449.3,451.5,705.3,1606.2
2016,364.8,426.2,695.8,1486.9
2017,296.2,437.0,675.0,1408.2
