# EPICA Dome C Ice Cores Deuterium Data 
# -----------------------------------------------------------------------
#	World Data Center for Paleoclimatology, Boulder
#	and
#	NOAA Paleoclimatology Program
# -----------------------------------------------------------------------
# NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!
# 
# 
# NAME OF DATA SET: EPICA Dome C Ice Cores Deuterium Data 
# LAST UPDATE: 7/2004 (Original receipt by WDC Paleo)
# 
# 
# CONTRIBUTOR: Jean Jouzel, Institut Pierre Simon Laplace/
# Laboratoire des Sciences du Climat et de l'Environnement, 
# UMR CEA-CNRS 1572, CE Saclay, Orme des Merisiers, 
# 91191Gif-Sur-Yvette, France.
# 
# 
# IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-038
# 
# 
# SUGGESTED DATA CITATION: Jouzel, J., et al. 2004.
# EPICA Dome C Ice Cores Deuterium Data. 
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series # 2004-038.
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.
# 
# 
# ORIGINAL REFERENCE: EPICA community members. 2004. 
# Eight glacial cycles from an Antarctic ice core.
# Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
# doi:10.1038/nature02599.
# 
# 
# ABSTRACT:
# The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
# and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
# the amplitude of climate variability was smaller before that time, but such records 
# are often poorly resolved. Moreover, it is not possible to infer the abundance of 
# greenhouse gases in the atmosphere from marine records. Here we report the recovery 
# of a deepice core from Dome C, Antarctica, that provides a climate record for the 
# past 740,000 years. For the four most recent glacial cycles, the data agree well 
# with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
# ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
# but a higher proportion of each cycle was spent in the warm mode. The transition 
# from glacial to interglacial conditions about 430,000 years ago (Termination V) 
# resembles the transition into the present interglacial period in terms of the 
# magnitude of change in temperatures and greenhouse gases, but there are significant 
# differences in the patterns of change. The interglacial stage following Termination 
# V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
# recorded so far in the present interglacial period. Given the similarities between 
# this earlier warm period and today, our results may imply that without human 
# intervention, a climate similar to the present one would extend well into the future.
# 
# 
# 
# GEOGRAPHIC REGION: Antarctica
# PERIOD OF RECORD:  0 - 741 kyr BP
# 
# 
# DESCRIPTION: 
# Deuterium data from EPICA Dome C ice cores, 6.6-3140.5 metres, 
# also presented as 3 kyr averages, 0-741 kyr.
# 
# dD was determined on meltwater from 55 cm long sections. 
# The current dataset was derived using a "quick" mode 
# (each sample is measured twice instead of four times), 
# leading to a typical accuracy of 1.5‰, whereas we aim 
# for a final precision of 0.5‰ over the entire core.  
# The data here correspond to values averaged across seven 
# successive samples (depth scale) or averaged across 
# 3000 year intervals. Ages are given on timescale EDC2 
# (EPICA Community Members, Eight glacial cycles from an 
# Antarctic ice core, Nature, 429 (6992), 623-628, 2004).
# 
# 
# 
# 
# DATA:  
# 1. Deuterium data from EPICA Dome C ice cores, 6.6-3140.5 metres.
# 
#Column 1: Depth (m) at top of averaging interval
#Column 2: Depth (m) at bottom of averaging interval
#Column 3: Age (years before 1950 on EDC2 timescale) at top of averaging interval
#Column 4: Age (years before 1950 on EDC2 timescale) at bottom of averaging interval
#Column 5: Mean age (EDC2 timescale, mean of columns 3 and 4) 
#Column 6: dD, permill
#
Depth/top	Depth/bot	Age/Top	Age/bot	Age/mean	deltaD
260.7	264.55	8170.1	8325.45	8247.775	-400.67
264.55	268.4	8325.45	8478	8401.725	-401.09
268.4	272.25	8478	8625.5	8551.75	-398.37
272.25	276.1	8625.5	8774.9	8700.2	-398.94
276.1	279.95	8774.9	8927.05	8850.975	-398.61
279.95	283.8	8927.05	9073.4	9000.225	-396.29
283.8	287.65	9073.4	9227.65	9150.525	-398.83
287.65	291.5	9227.65	9373	9300.325	-394.07
291.5	295.35	9373	9515.25	9444.125	-392.28
295.35	299.2	9515.25	9661.4	9588.325	-394.63
299.2	303.05	9661.4	9801.75	9731.575	-391.67
303.05	306.9	9801.75	9939.2	9870.475	-391.3
306.9	310.75	9939.2	10080	10009.6	-393.06
310.75	314.6	10080	10221.4	10150.7	-392.03
314.6	318.45	10221.4	10358.2	10289.8	-389.14
318.45	322.3	10358.2	10500.8	10429.5	-393.5
322.3	326.15	10500.8	10645.3	10573.05	-392.61
326.15	330	10645.3	10784	10714.65	-388.41
330	333.85	10784	10931.3	10857.65	-392.41
333.85	337.7	10931.3	11084.6	11007.95	-392.94
337.7	341.55	11084.6	11236	11160.3	-394.27
341.55	345.4	11236	11387.4	11311.7	-392.01
345.4	349.25	11387.4	11537	11462.2	-391.79
349.25	353.1	11537	11685.9	11611.45	-391.8
353.1	356.95	11685.9	11835.2	11760.55	-390.56
356.95	360.8	11835.2	11990	11912.6	-393.01
360.8	364.65	11990	12140.7	12065.35	-392.4
364.65	368.5	12140.7	12305	12222.85	-398.23
368.5	372.35	12305	12478.4	12391.7	-401.76
372.35	376.2	12478.4	12661.6	12570	-407.2
376.2	380.05	12661.6	12849.6	12755.6	-409.31
380.05	383.9	12849.6	13048.6	12949.1	-412.14
383.9	387.75	13048.6	13259.5	13154.05	-415.66
387.75	391.6	13259.5	13468	13363.75	-415.1
391.6	395.45	13468	13675.4	13571.7	-414.1
395.45	399.3	13675.4	13869.9	13772.65	-410.77
399.3	403.15	13869.9	14071.4	13970.65	-413.57
403.15	407	14071.4	14278	14174.7	-414.96
407	410.85	14278	14485.8	14381.9	-411.74
410.85	414.7	14485.8	14681.1	14583.45	-407.67
414.7	418.55	14681.1	14869.3	14775.2	-402.99
418.55	422.4	14869.3	15059.6	14964.45	-404.94
422.4	426.25	15059.6	15268	15163.8	-410.74
426.25	430.1	15268	15482.1	15375.05	-412.16
430.1	433.95	15482.1	15683.3	15582.7	-410.93
433.95	437.8	15683.3	15899.6	15791.45	-413.19
437.8	441.65	15899.6	16127.7	16013.65	-418.67
441.65	445.5	16127.7	16354	16240.85	-418.26
445.5	449.35	16354	16588.4	16471.2	-418.99
449.35	453.2	16588.4	16839.4	16713.9	-423.57
453.2	457.05	16839.4	17098.2	16968.8	-423.94
457.05	460.9	17098.2	17359.9	17229.05	-428.26
460.9	464.75	17359.9	17641.3	17500.6	-433.73
464.75	468.6	17641.3	17935.4	17788.35	-433.81
468.6	472.45	17935.4	18242.2	18088.8	-438.79
472.45	476.3	18242.2	18566.9	18404.55	-439.89
476.3	480.15	18566.9	18892.3	18729.6	-441.44
480.15	484	18892.3	19224	19058.15	-441.93
484	487.85	19224	19556.3	19390.15	-440.89
487.85	491.7	19556.3	19888.2	19722.25	-442.46
491.7	495.55	19888.2	20215.3	20051.75	-439.79
495.55	499.4	20215.3	20559.2	20387.25	-443.77
499.4	503.25	20559.2	20897	20728.1	-441.41
503.25	507.1	20897	21218.7	21057.85	-441.4
507.1	510.95	21218.7	21541.9	21380.3	-442.01
510.95	514.8	21541.9	21872.2	21707.05	-442.31
514.8	518.65	21872.2	22205.2	22038.7	-441.83
518.65	522.5	22205.2	22534	22369.6	-441.11
522.5	526.35	22534	22852.1	22693.05	-440.2
526.35	530.2	22852.1	23191.2	23021.65	-443.51
530.2	534.05	23191.2	23517.5	23354.35	-440.17
534.05	537.9	23517.5	23860.2	23688.85	-442.79
537.9	541.75	23860.2	24182	24021.1	-439.33
541.75	545.6	24182	24507	24344.5	-439.47
545.6	549.45	24507	24839	24673	-443.17
549.45	553.3	24839	25177.3	25008.15	-442.99
553.3	557.15	25177.3	25514.7	25346	-443.47
557.15	561	25514.7	25859	25686.85	-444.5
561	564.85	25859	26206.8	26032.9	-445.16
564.85	568.7	26206.8	26546.2	26376.5	-444.66
568.7	572.55	26546.2	26888	26717.1	-443.97
572.55	576.4	26888	27226.8	27057.4	-444.24
576.4	580.25	27226.8	27570.2	27398.5	-444.6
580.25	584.1	27570.2	27906.4	27738.3	-443.81
584.1	587.95	27906.4	28226.4	28066.4	-439
587.95	591.8	28226.4	28546.6	28386.5	-437.79
591.8	595.65	28546.6	28887.9	28717.25	-443.73
595.65	599.5	28887.9	29209	29048.45	-437.46
599.5	603.35	29209	29532.7	29370.85	-440.43
603.35	607.2	29532.7	29828.4	29680.55	-435.89
607.2	611.05	29828.4	30127.1	29977.75	-437.13
611.05	614.9	30127.1	30448.2	30287.65	-439.87
614.9	618.75	30448.2	30782	30615.1	-442.47
618.75	622.6	30782	31131.6	30956.8	-440.91
622.6	626.45	31131.6	31453.4	31292.5	-438.43
626.45	630.3	31453.4	31793.5	31623.45	-444.04
630.3	634.15	31793.5	32116.7	31955.1	-441.71
634.15	638	32116.7	32418	32267.35	-435.11
638	641.85	32418	32731.9	32574.95	-437.73
641.85	645.7	32731.9	33056	32893.95	-441.66
645.7	649.55	33056	33380.5	33218.25	-438.54
649.55	653.4	33380.5	33682.4	33531.45	-434.86
653.4	657.25	33682.4	34012	33847.2	-438.4
657.25	661.1	34012	34364.4	34188.2	-442.99
661.1	664.95	34364.4	34683.1	34523.75	-438.61
664.95	668.8	34683.1	34981.4	34832.25	-434.8
668.8	672.65	34981.4	35289.4	35135.4	-433.37
672.65	676.5	35289.4	35599	35444.2	-435.43
676.5	680.35	35599	35921.4	35760.2	-436.67
680.35	684.2	35921.4	36241.2	36081.3	-437.91
684.2	688.05	36241.2	36556.1	36398.65	-435.79
688.05	691.9	36556.1	36878.9	36717.5	-436.7
691.9	695.75	36878.9	37180.5	37029.7	-431.8
695.75	699.6	37180.5	37471.2	37325.85	-429.71
699.6	703.45	37471.2	37741.8	37606.5	-422.69
703.45	707.3	37741.8	38034.2	37888	-429.23
707.3	711.15	38034.2	38317	38175.6	-427.01
711.15	715	38317	38607	38462	-428.13
715	718.85	38607	38898.3	38752.65	-429.96
718.85	722.7	38898.3	39227.3	39062.8	-436.94
722.7	726.55	39227.3	39572.3	39399.8	-439.01
726.55	730.4	39572.3	39903.8	39738.05	-435.83
730.4	734.25	39903.8	40244.3	40074.05	-436.29
734.25	738.1	40244.3	40610	40427.15	-439.01
738.1	741.95	40610	40943.9	40776.95	-433.14
741.95	745.8	40943.9	41282.2	41113.05	-436.27
745.8	749.65	41282.2	41644.1	41463.15	-440.27
749.65	753.5	41644.1	41998.5	41821.3	-437.61
753.5	757.35	41998.5	42313.8	42156.15	-435.24
757.35	761.2	42313.8	42631.8	42472.8	-430.01
761.2	765.05	42631.8	42969.7	42800.75	-431.91
765.05	768.9	42969.7	43327.4	43148.55	-434.8
768.9	772.75	43327.4	43667.5	43497.45	-438.2
772.75	776.6	43667.5	43995	43831.25	-437.13
776.6	780.45	43995	44319.4	44157.2	-435.38
780.45	784.3	44319.4	44632.4	44475.9	-431.54
784.3	788.15	44632.4	44926.4	44779.4	-427.74
788.15	792	44926.4	45204	45065.2	-425.2
792	795.85	45204	45482.1	45343.05	-422.31
795.85	799.7	45482.1	45752.2	45617.15	-421.87
799.7	803.55	45752.2	46023.8	45888	-420.64
803.55	807.4	46023.8	46316.8	46170.3	-426.87
807.4	811.25	46316.8	46609.8	46463.3	-426.75
811.25	815.1	46609.8	46915	46762.4	-428.57
815.1	818.95	46915	47245.5	47080.25	-434.26
818.95	822.8	47245.5	47569.6	47407.55	-433.1
822.8	826.65	47569.6	47898.3	47733.95	-434.46
826.65	830.5	47898.3	48223.5	48060.9	-432.6
830.5	834.35	48223.5	48557.1	48390.3	-434.55
834.35	838.2	48557.1	48876.8	48716.95	-430.93
838.2	842.05	48876.8	49194.2	49035.5	-431.63
842.05	845.9	49194.2	49510.8	49352.5	-430.34
845.9	849.75	49510.8	49829.3	49670.05	-431.57
849.75	853.6	49829.3	50150.8	49990.05	-431.76
853.6	857.45	50150.8	50463	50306.9	-428.62
857.45	861.3	50463	50764.8	50613.9	-428.11
861.3	865.15	50764.8	51057	50910.9	-424.26
865.15	869	51057	51360	51208.5	-426.9
869	872.85	51360	51652.8	51506.4	-423.52
872.85	876.7	51652.8	51943.8	51798.3	-424.31
876.7	880.55	51943.8	52217.2	52080.5	-418.6
880.55	884.4	52217.2	52519.2	52368.2	-426.33
884.4	888.25	52519.2	52820.5	52669.85	-425.17
888.25	892.1	52820.5	53123.5	52972	-425.59
892.1	895.95	53123.5	53453.7	53288.6	-432.05
895.95	899.8	53453.7	53762	53607.85	-427.04
899.8	903.65	53762	54079.6	53920.8	-428.69
903.65	907.5	54079.6	54413	54246.3	-431.83
907.5	911.35	54413	54757.1	54585.05	-434.26
911.35	915.2	54757.1	55085.8	54921.45	-430.36
915.2	919.05	55085.8	55405.9	55245.85	-429.02
919.05	922.9	55405.9	55706.4	55556.15	-424.81
922.9	926.75	55706.4	56004	55855.2	-423.65
926.75	930.6	56004	56309.2	56156.6	-424.34
930.6	934.45	56309.2	56613.2	56461.2	-425.1
934.45	938.3	56613.2	56898.8	56756	-420.24
938.3	942.15	56898.8	57182.1	57040.45	-419.97
942.15	946	57182.1	57475	57328.55	-421.63
946	949.85	57475	57771.2	57623.1	-421.59
949.85	953.7	57771.2	58076.7	57923.95	-424.48
953.7	957.55	58076.7	58382.6	58229.65	-423.76
957.55	961.4	58382.6	58709.8	58546.2	-428.73
961.4	965.25	58709.8	59033.5	58871.65	-427.67
965.25	969.1	59033.5	59361.7	59197.6	-428.02
969.1	972.95	59361.7	59695.7	59528.7	-429.61
972.95	976.8	59695.7	60042.8	59869.25	-431.78
976.8	980.65	60042.8	60405.7	60224.25	-434.73
980.65	984.5	60405.7	60781	60593.35	-437.01
984.5	988.35	60781	61168.1	60974.55	-438.3
988.35	992.2	61168.1	61576.2	61372.15	-442.67
992.2	996.05	61576.2	61956.7	61766.45	-437.38
996.05	999.9	61956.7	62321.5	62139.1	-434.3
999.9	1003.75	62321.5	62714.3	62517.9	-438.53
1003.75	1007.6	62714.3	63116	62915.15	-440.55
1007.6	1011.45	63116	63509.3	63312.65	-438.62
1011.45	1015.3	63509.3	63919.7	63714.5	-441.4
1015.3	1019.15	63919.7	64342.5	64131.1	-443.41
1019.15	1023	64342.5	64754	64548.25	-442.02
1023	1026.85	64754	65166.7	64960.35	-441.36
1026.85	1030.7	65166.7	65583.5	65375.1	-442.33
1030.7	1034.55	65583.5	65985.7	65784.6	-439.38
1034.55	1038.4	65985.7	66396.2	66190.95	-441.25
1038.4	1042.25	66396.2	66783	66589.6	-436.18
1042.25	1046.1	66783	67209	66996	-443.29
1046.1	1049.95	67209	67615	67412	-439.67
1049.95	1053.8	67615	67995.8	67805.4	-434.37
1053.8	1057.65	67995.8	68349.9	68172.85	-430.15
1057.65	1061.5	68349.9	68676.5	68513.2	-423.4
1061.5	1065.35	68676.5	69013.2	68844.85	-424.84
1065.35	1069.2	69013.2	69360.4	69186.8	-427.79
1069.2	1073.05	69360.4	69714.6	69537.5	-428.49
1073.05	1076.9	69714.6	70081.2	69897.9	-431.37
1076.9	1080.75	70081.2	70479.8	70280.5	-437.1
1080.75	1084.6	70479.8	70862	70670.9	-434.6
1084.6	1088.45	70862	71219.9	71040.95	-429
1088.45	1092.3	71219.9	71567.7	71393.8	-427.48
1092.3	1096.15	71567.7	71891.3	71729.5	-422.76
1096.15	1100	71891.3	72207	72049.15	-419.96
1100	1103.85	72207	72510.7	72358.85	-416.41
1103.85	1107.7	72510.7	72840.3	72675.5	-422.97
1107.7	1111.55	72840.3	73184.6	73012.45	-426.08
1111.55	1115.4	73184.6	73555	73369.8	-430.7
1115.4	1119.25	73555	73924.8	73739.9	-431.23
1119.25	1123.1	73924.8	74290.3	74107.55	-430.37
1123.1	1126.95	74290.3	74652.4	74471.35	-429.55
1126.95	1130.8	74652.4	74996.4	74824.4	-425.94
1130.8	1134.65	74996.4	75359.1	75177.75	-430.18
1134.65	1138.5	75359.1	75715.5	75537.3	-428.44
1138.5	1142.35	75715.5	76065.5	75890.5	-427.48
1142.35	1146.2	76065.5	76398.2	76231.85	-423.49
1146.2	1150.05	76398.2	76753.2	76575.7	-426.17
1150.05	1153.9	76753.2	77078.3	76915.75	-421.66
1153.9	1157.75	77078.3	77406.2	77242.25	-421.75
1157.75	1161.6	77406.2	77732.8	77569.5	-420.89
1161.6	1165.45	77732.8	78055.8	77894.3	-420.97
1165.45	1169.3	78055.8	78375.5	78215.65	-418.95
1169.3	1173.15	78375.5	78704.8	78540.15	-421.57
1173.15	1177	78704.8	79025	78864.9	-419.69
1177	1180.85	79025	79332.3	79178.65	-416.01
1180.85	1184.7	79332.3	79637	79484.65	-415.48
1184.7	1188.55	79637	79934.5	79785.75	-413.18
1188.55	1192.4	79934.5	80237	80085.75	-414.9
1192.4	1196.25	80237	80528.2	80382.6	-411.5
1196.25	1200.1	80528.2	80817.5	80672.85	-410
1200.1	1203.95	80817.5	81113.2	80965.35	-412.04
1203.95	1207.8	81113.2	81405.6	81259.4	-410.35
1207.8	1211.65	81405.6	81710.3	81557.95	-412.31
1211.65	1215.5	81710.3	82015.5	81862.9	-413.74
1215.5	1219.35	82015.5	82327.1	82171.3	-414.84
1219.35	1223.2	82327.1	82650.2	82488.65	-417.42
1223.2	1227.05	82650.2	82971.4	82810.8	-416.03
1227.05	1230.9	82971.4	83311.9	83141.65	-419.54
1230.9	1234.75	83311.9	83657.2	83484.55	-420.22
1234.75	1238.6	83657.2	84017.8	83837.5	-422.67
1238.6	1242.45	84017.8	84387.2	84202.5	-425.36
1242.45	1246.3	84387.2	84788.3	84587.75	-430.66
1246.3	1250.15	84788.3	85183.6	84985.95	-429.29
1250.15	1254	85183.6	85577	85380.3	-427.58
1254	1257.85	85577	85974.6	85775.8	-427.21
1257.85	1261.7	85974.6	86351.2	86162.9	-424.3
1261.7	1265.55	86351.2	86726.6	86538.9	-423.4
1265.55	1269.4	86726.6	87094.4	86910.5	-422.76
1269.4	1273.25	87094.4	87452	87273.2	-419.24
1273.25	1277.1	87452	87828.1	87640.05	-422.06
1277.1	1280.95	87828.1	88223	88025.55	-424.3
1280.95	1284.8	88223	88615.4	88419.2	-425.32
1284.8	1288.65	88615.4	89010.7	88813.05	-426.13
1288.65	1292.5	89010.7	89402	89206.35	-425.75
1292.5	1296.35	89402	89793	89597.5	-425.38
1296.35	1300.2	89793	90157.2	89975.1	-419.45
1300.2	1304.05	90157.2	90536	90346.6	-422.52
1304.05	1307.9	90536	90914.3	90725.15	-421.55
1307.9	1311.75	90914.3	91296.5	91105.4	-422.9
1311.75	1315.6	91296.5	91667.8	91482.15	-420.75
1315.6	1319.45	91667.8	92037.7	91852.75	-420.03
1319.45	1323.3	92037.7	92407.1	92222.4	-420.48
1323.3	1327.15	92407.1	92755.3	92581.2	-415.33
1327.15	1331	92755.3	93119	92937.15	-419.21
1331	1334.85	93119	93487.2	93303.1	-420.84
1334.85	1338.7	93487.2	93855.8	93671.5	-419.07
1338.7	1342.55	93855.8	94234.5	94045.15	-422.13
1342.55	1346.4	94234.5	94614.4	94424.45	-421.43
1346.4	1350.25	94614.4	94976.2	94795.3	-418.89
1350.25	1354.1	94976.2	95353.5	95164.85	-421.43
1354.1	1357.95	95353.5	95721.2	95537.35	-418.7
1357.95	1361.8	95721.2	96093.2	95907.2	-420.55
1361.8	1365.65	96093.2	96463	96278.1	-418.34
1365.65	1369.5	96463	96841	96652	-420.79
1369.5	1373.35	96841	97220.3	97030.65	-420.05
1373.35	1377.2	97220.3	97601.2	97410.75	-420.95
1377.2	1381.05	97601.2	97971.9	97786.55	-418.8
1381.05	1384.9	97971.9	98329.3	98150.6	-416.96
1384.9	1388.75	98329.3	98694.8	98512.05	-416.2
1388.75	1392.6	98694.8	99061.8	98878.3	-417.28
1392.6	1396.45	99061.8	99442.4	99252.1	-419.42
1396.45	1400.3	99442.4	99835.6	99639	-421.79
1400.3	1404.15	99835.6	100226	100030.8	-421.08
1404.15	1408	100226	100624	100425	-421.72
1408	1411.85	100624	101041	100832.5	-426.82
1411.85	1415.7	101041	101450	101245.5	-430.78
1415.7	1419.55	101450	101865	101657.5	-426
1419.55	1423.4	101865	102283	102074	-423.74
1423.4	1427.25	102283	102708	102495.5	-419.54
1427.25	1431.1	102708	103135	102921.5	-422.03
1431.1	1434.95	103135	103568	103351.5	-419.2
1434.95	1438.8	103568	104006	103787	-417.05
1438.8	1442.65	104006	104449	104227.5	-412.14
1442.65	1446.5	104449	104897	104673	-417.44
1446.5	1450.35	104897	105349	105123	-421.95
1450.35	1454.2	105349	105808	105578.5	-425.39
1454.2	1458.05	105808	106271	106039.5	-431.09
1458.05	1461.9	106271	106742	106506.5	-429.59
1461.9	1465.75	106742	107207	106974.5	-430.45
1465.75	1469.6	107207	107660	107433.5	-425.65
1469.6	1473.45	107660	108110	107885	-424.45
1473.45	1477.3	108110	108551	108330.5	-424.11
1477.3	1481.15	108551	108993	108772	-423.09
1481.15	1485	108993	109438	109215.5	-425.13
