Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
1992	109.5	336.0	69.5	514.9	73.8	98.6	36.2	209.2	-305.7	669.2	769	313	-457
1993	111.5	331.6	71.7	514.8	74.9	99.7	35.5	212.9	-301.8	686.9	749	310	-439
1994	115.9	330.9	67.9	514.7	76.9	101.9	37.1	217.9	-296.8	704.8	730	309	-421
1995	121.8	336.3	75.0	533.1	79.3	105.5	39.7	225.1	-308.0	722.9	737	311	-426
1996	121.4	347.2	80.3	548.8	80.4	108.3	41.6	231.3	-317.5	741.2	740	312	-428
1997	129.1	355.2	89.6	573.9	82.4	111.1	40.8	234.5	-339.5	759.8	755	309	-447
1998	130.8	356.4	95.4	582.7	80.5	113.7	42.9	235.6	-347.0	778.6	748	303	-446
1999	130.6	346.4	104.6	581.6	83.0	117.8	43.3	247.9	-333.7	797.8	729	311	-418
2000	130.5	371.6	116.2	618.3	82.8	118.4	47.9	250.7	-367.6	817.6	756	307	-450
2001	130.2	367.9	120.1	618.1	83.9	119.9	55.3	259.1	-359.0	837.8	738	309	-428
2002	128.0	370.4	125.5	623.9	80.3	122.0	58.6	266.0	-357.9	858.6	727	310	-417
2003	137.6	402.8	134.9	675.2	87.4	125.1	62.2	278.2	-397.0	880.0	767	316	-451
2004	140.6	448.2	141.1	729.9	96.2	131.3	67.7	296.3	-433.6	902.0	809	328	-481
2005	141.5	464.7	147.1	753.3	89.3	138.1	70.3	300.3	-453.0	924.8	815	325	-490
2006	140.5	475.6	159.2	775.2	90.5	139.0	73.3	305.7	-469.6	948.2	818	322	-495
2007	140.5	485.5	168.3	794.2	92.0	143.5	78.1	321.2	-473.0	972.3	817	330	-486
2008	142.7	490.4	175.3	808.4	101.4	151.4	81.5	337.4	-471.0	997.1	811	338	-472
2009	141.5	471.8	165.2	778.5	101.0	156.9	82.2	343.8	-434.7	1022.9	761	336	-425
2010	146.8	487.0	174.0	807.8	100.1	164.3	85.1	354.4	-453.4	1049.4	770	338	-432
2011	146.0	406.0	173.4	725.4	98.4	159.7	92.2	352.3	-373.2	1076.9	674	327	-347
2012	151.9	442.2	177.8	771.9	96.0	168.7	99.0	363.1	-408.8	1105.3	698	329	-370
2013	152.4	409.5	170.5	732.4	97.2	174.4	100.3	373.6	-358.8	1134.4	646	329	-316
2014	157.7	390.6	170.8	719.2	101.9	177.5	103.1	380.4	-338.8	1164.1	618	327	-291
2015	151.6	386.8	175.0	713.5	97.7	181.5	110.1	385.3	-328.2	1194.4	597	323	-275
2016	149.6	363.9	179.6	693.0	99.1	182.2	116.1	401.3	-291.7	1225.1	566	328	-238
2017	155.2	386.0	194.0	735.2	97.6	185.1	121.0	406.1	-329.1	1256.3	585	323	-262
2018	155.8	388.7	203.4	747.9	101.4	184.2	129.0	412.5	-335.5	1287.9	581	320	-260
