Year	Coal_P	Oil_P	Gas_P	Total_P	Coal_C	Oil_C	Gas_C	Total_C	Import	Population	Production_PC	Consumption_PC	Import_PC
2008	198.7	627.2	660.9	1486.7	137.2	169.2	448.2	755.1	-731.6	286.9	5182	2632	-2550
2009	187.0	645.0	570.2	1402.2	125.6	162.3	429.9	721.8	-680.4	287.6	4876	2510	-2366
2010	200.3	659.1	630.0	1489.3	126.4	166.0	456.8	754.9	-734.4	288.4	5164	2618	-2547
2011	209.4	662.0	658.8	1530.2	133.2	178.4	472.5	783.2	-747.0	289.3	5289	2707	-2582
2012	222.3	666.1	648.6	1537.0	139.6	183.2	468.8	789.4	-747.7	290.3	5294	2719	-2575
2013	226.9	675.4	660.8	1563.1	131.4	180.6	462.0	775.6	-787.5	291.4	5364	2662	-2703
2014	228.1	675.8	646.0	1550.0	128.3	189.5	464.3	775.4	-774.6	292.5	5299	2651	-2648
2015	235.1	681.3	640.6	1556.9	130.0	181.8	455.7	759.3	-797.6	293.5	5304	2587	-2717
2016	242.7	692.2	642.4	1577.4	128.3	185.6	462.4	781.4	-796.0	294.5	5356	2653	-2703
2017	259.5	696.1	678.5	1634.1	126.4	184.3	472.3	782.8	-851.3	295.4	5532	2650	-2882
2018	276.0	709.1	714.6	1699.7	134.9	186.0	499.4	815.1	-884.6	296.2	5738	2752	-2986
